id,condition,sceneName,sceneNumber,task,block,trial,Navigate_target,Navigate_actualPath,Navigate_optimalPath,Navigate_excessPath,Navigate_clockwiseTravel,Navigate_duration,
1,default,demo_SimpleSample_50x50,1,TASK_NavigationTask,1,1,Green Cylinder,24.47999,27.35937,-2.879372,-75.72662,3.960444,
1,default,demo_SimplerSampler_3x3,2,TASK_NavigationTask,1,1,Cube,0.8000001,1.445683,-0.6456831,7.571685,3.311707,
1,default,demo_SimplerSampler_3x3,2,TASK_NavigationTask,1,2,Sphere,1.8,2.265486,-0.465486,-161.8021,12.59736,
